"","segment","month","year","sim","state"
"1007","7","3","5","1",2
"1008","8","3","5","1",2
"1009","9","3","5","1",1
"1010","10","3","5","1",2
"1011","11","3","5","1",2
"1012","12","3","5","1",2
"1013","13","3","5","1",2
"1014","14","3","5","1",1
"1015","15","3","5","1",2
"1016","16","3","5","1",2
"1017","17","3","5","1",1
"1018","18","3","5","1",1
"1019","19","3","5","1",2
"1020","20","3","5","1",1
"1021","1","4","5","1",2
"1022","2","4","5","1",2
"1023","3","4","5","1",2
"1024","4","4","5","1",2
"1025","5","4","5","1",2
"1026","6","4","5","1",2
"1027","7","4","5","1",1
"1028","8","4","5","1",2
"1029","9","4","5","1",1
"1030","10","4","5","1",2
"1031","11","4","5","1",2
"1032","12","4","5","1",2
"1033","13","4","5","1",2
"1034","14","4","5","1",1
"1035","15","4","5","1",2
"1036","16","4","5","1",2
"1037","17","4","5","1",1
"1038","18","4","5","1",1
"1039","19","4","5","1",2
"1040","20","4","5","1",1
"1041","1","5","5","1",2
"1042","2","5","5","1",2
"1043","3","5","5","1",2
"1044","4","5","5","1",2
"1045","5","5","5","1",2
"1046","6","5","5","1",1
"1047","7","5","5","1",2
"1048","8","5","5","1",2
"1049","9","5","5","1",1
"1050","10","5","5","1",2
"1051","11","5","5","1",2
"1052","12","5","5","1",2
"1053","13","5","5","1",2
"1054","14","5","5","1",1
"1055","15","5","5","1",2
"1056","16","5","5","1",2
"1057","17","5","5","1",1
"1058","18","5","5","1",2
"1059","19","5","5","1",2
"1060","20","5","5","1",1
"1061","1","6","5","1",2
"1062","2","6","5","1",2
"1063","3","6","5","1",2
